ID,GAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_SALES,EU_SALES,JP_SALES,OTHERS_SALES,GLOBAL_SALES,CRITIC_SCORE,CRITIC_COUNT,USER_SCORE,USER_COUNT
350,Pac-Man Fever,PS2,2001,Misc,Sony Computer Entertainment,0.25,0.2,0,0.07,0.51,47,14,6.3,7
351,PaRappa The Rapper 2,PS2,2001,Misc,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,67,26,6.6,26
352,Paris-Dakar Rally,PS2,2001,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.15,36,6,3.9,15
353,Phantasy Star Online Ver. 2,DC,2001,Role-Playing,Sega,0,0,0.19,0,0.19,80,10,8.9,18
354,Pikmin,GC,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63,89,39,8.7,121
355,Portal Runner,PS2,2001,Platform,3DO,0.06,0.05,0,0.02,0.13,53,18,6.7,6
356,Project Eden,PS2,2001,Action,Eidos Interactive,0.04,0.03,0,0.01,0.09,71,20,7.8,8
357,Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12,85,35,8.2,28
358,Quake III: Revolution,PS2,2001,Shooter,Electronic Arts,0.1,0.08,0,0.03,0.21,84,18,7.2,11
359,Rayman Advance,GBA,2001,Platform,Ubisoft,0.36,0.13,0,0.01,0.5,84,17,8.4,16
360,Rayman Arena,PS2,2001,Racing,Ubisoft,0.29,0.23,0,0.08,0.6,63,10,8.6,8
361,Red Faction,PS2,2001,Shooter,THQ,0.76,0.96,0,0.2,1.92,88,25,8,69
362,Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,1.08,0.7,0.34,0.21,2.34,84,21,8.4,189
363,Rez,PS2,2001,Shooter,Sony Computer Entertainment,0.03,0.02,0,0.01,0.05,78,34,8.3,28
364,Rumble Racing,PS2,2001,Racing,Electronic Arts,0.1,0.08,0,0.03,0.21,85,17,8.2,9
365,Rune: Viking Warlord,PS2,2001,Action,Take-Two Interactive,0.13,0.1,0,0.03,0.26,53,16,7.3,11
366,Shadow Hearts,PS2,2001,Role-Playing,Midway Games,0.09,0.07,0.1,0.02,0.28,73,24,8.8,55
367,Shadow of Destiny,PS2,2001,Adventure,Konami Digital Entertainment,0.09,0.07,0.03,0.02,0.21,78,18,8.2,19
368,Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,Codemasters,0.36,0.28,0,0.09,0.73,64,17,8.7,13
369,Shenmue II,DC,2001,Adventure,Sega,0,0,0.15,0,0.15,88,9,9.4,201
370,Shrek,XB,2001,Platform,TDK Mediactive,0.25,0.1,0,0.01,0.36,49,19,5.4,9
371,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28,89,34,8.9,557
372,Silent Hill 2: Restless Dreams,XB,2001,Action,Konami Digital Entertainment,0.21,0.06,0,0.01,0.28,84,23,8.3,39
373,Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,0.27,0.21,0,0.07,0.56,59,14,6.8,17
374,Sonic Advance,GBA,2001,Platform,Sega,1.19,0.71,0.22,0.13,2.24,87,22,8.1,48
375,Sonic Adventure 2,DC,2001,Platform,Sega,0,0,0.12,0,0.12,89,18,8.6,236
376,Sonic Adventure 2 Battle,GC,2001,Platform,Sega,1.7,0.59,0.21,0.07,2.56,73,28,8.3,179
377,Soul Reaver 2,PS2,2001,Action,Eidos Interactive,0.27,0.21,0,0.07,0.55,80,22,8.5,35
378,Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0,0.06,0.87,48,4,6.6,16
379,Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,1.55,74,15,8.7,35
380,Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.43,0.16,0,0.01,0.61,84,8,8.7,11
381,SplashDown,PS2,2001,Racing,Atari,0.34,0.27,0,0.09,0.7,84,22,8.2,11
382,Spy Hunter,PS2,2001,Racing,Midway Games,1.13,0.32,0,0.22,1.67,84,28,7.8,13
383,Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,1.29,0.83,0,0.11,2.23,74,16,8,13
384,SSX Tricky,PS2,2001,Sports,Electronic Arts,0.85,0.66,0,0.22,1.73,92,33,8.9,71
385,SSX Tricky,GC,2001,Sports,Electronic Arts,0.42,0.11,0,0.01,0.54,87,20,8.6,18
386,SSX Tricky,XB,2001,Sports,Electronic Arts,0.32,0.09,0,0.02,0.43,88,22,8.5,11
387,Star Trek: Voyager Elite Force,PS2,2001,Shooter,Codemasters,0.07,0.06,0,0.02,0.15,52,12,6.4,5
388,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,90,45,8.6,80
389,Star Wars: Obi-Wan,XB,2001,Action,Activision,0.52,0.16,0,0.02,0.7,58,28,5.9,14
390,Star Wars: Starfighter,PS2,2001,Simulation,Activision,0.61,0.87,0.02,0.26,1.76,84,25,8,21
391,Star Wars: Super Bombad Racing,PS2,2001,Racing,LucasArts,0.08,0.06,0,0.02,0.16,71,21,4.9,8
392,Stretch Panic,PS2,2001,Platform,Midas Interactive Entertainment,0.02,0.02,0,0.01,0.05,65,14,7.8,4
393,Stronghold,PC,2001,Strategy,Gathering of Developers,0,0.09,0,0.02,0.11,81,19,8.9,224
394,Stunt GP,PS2,2001,Racing,Titus,0.02,0.02,0,0.01,0.05,49,8,8.1,9
395,Sunny Garcia Surfing,PS2,2001,Sports,Ubisoft,0.02,0.01,0,0,0.03,61,11,7.9,7
396,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41
397,Super Monkey Ball,GC,2001,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46,87,28,7.9,46
398,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568
399,Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,Ubisoft,0.18,0.07,0,0,0.25,84,17,7.4,10
400,Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0,0.14,1.12,57,15,7.6,9
401,Syphon Filter 3,PS,2001,Shooter,Sony Computer Entertainment,0.29,0.2,0,0.03,0.52,73,19,8.5,36
402,Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,Nintendo,0.13,0.05,0.31,0.01,0.5,88,20,9.1,26
403,Tekken Advance,GBA,2001,Fighting,Infogrames,0.32,0.12,0,0.01,0.45,82,14,8.2,13
